image_id,asin,quantity,normalized_name,height_value,length_value,width_value,weight_value
00001,B000C33MI2,4,FRAM XG7317 ULTRA Spin-On Oil Filter with Sure Grip,2.79921259557,3.90157479917,2.90157480019,0.3000050461296
00001,B0050Z27KG,2,"Suncatcher - Axicon Rainbow Window - Includes Bonus ""Rainbow on Board"" Sun Catcher",0.899999999082,11.299999988474,7.699999992146,0.5
00001,B01BV89HNU,6,"2 Pack Type C, iOrange-E 6.6 Ft Braided Cable for Nexus 6P, Nexus 5X, Onplus 2, Lumia 950, LG G5, Apple Macbook 12 inch, ChromeBook Pixel, Nokia N1 Tablet and Other USB C Devices, Black",2.1999999977560005,3.99999999592,3.899999996022,0.3499999997064932
00002,0307981584,13,Thomas Saves Easter! (Thomas & Friends) (Glitter Board Book),0.399999999592,7.899999991942001,6.899999992962,0.4
00002,B000052XHI,2,"First Response Early Result Pregnancy Test, 3 tests, Packaging May Vary",1.599999998368,7.799999992044,3.299999996634,0.022046001167587297
00002,B00GHT7T16,2,DORMAN 911-614 Power Steering Air Control Valve,2.49999999745,3.599999996328,2.49999999745,0.20000000000000004
00003,0307981584,13,Thomas Saves Easter! (Thomas & Friends) (Glitter Board Book),0.399999999592,7.899999991942001,6.899999992962,0.4
00003,B000052XHI,2,"First Response Early Result Pregnancy Test, 3 tests, Packaging May Vary",1.599999998368,7.799999992044,3.299999996634,0.022046001167587297
00003,B00GHT7T16,1,DORMAN 911-614 Power Steering Air Control Valve,2.49999999745,3.599999996328,2.49999999745,0.20000000000000004
00004,B003E72M1G,3,"Buxton Heiress Double Cardex Wallet, Mahogany, One Size",1.199999998776,5.099999994798,4.399999995512001,0.4
00004,B00CLCIQDI,1,"Renew Life Daily Liver Support, 60 Veggie Capsules",2.299999997654,4.799999995104,2.49999999745,0.022046001186074866
00004,B00H47IY4G,1,Android Cop [Blu-ray],0.58267716476,7.09842518961,5.41732282912,0.18333454586339856
00005,B003E72M1G,3,"Buxton Heiress Double Cardex Wallet, Mahogany, One Size",1.199999998776,5.099999994798,4.399999995512001,0.4
00005,B00H47IY4G,1,Android Cop [Blu-ray],0.58267716476,7.09842518961,5.41732282912,0.18333454586339856
00006,B00NFZYM5Q,1,Sunkist Fruit Gems (2 lb. bag),2.7999999971439995,8.699999991126,8.599999991228,2.15
00006,B01D8030L4,4,"Enhance Me Love and Hearts Bath Bombs, Handmade with Organic Palm Oil, Rich Shea Butter and Coconut Oil 6 Spa Bomb Gift Set",2.099999997858,6.299999993574,6.199999993676,0.7499999993710571
00007,B01D8030L4,4,"Enhance Me Love and Hearts Bath Bombs, Handmade with Organic Palm Oil, Rich Shea Butter and Coconut Oil 6 Spa Bomb Gift Set",2.099999997858,6.299999993574,6.199999993676,0.7499999993710571
00008,B002UC6P6E,1,JR Products 10845 White Fold Down Camper Latch and Catch,1.199999998776,7.099999992758,3.299999996634,0.65
00008,B017TQ9IWS,18,Manicure Kit - 3 Pcs - Ultimate Personal Care Set With Nail Scissors Pocket Size - Perfect for Travel or for Gift - Black,0.899999999082,4.199999995716,2.49999999745,0.14999999987421142
00009,B015TC63LI,1,My Little Pony POP and Starter Kits,3.49999999643,6.799999993064,6.099999993778,0.7499999993710571
00010,B00ZS4HK0Q,3,"ASUS Chromebook Flip 10.1-Inch Convertible 2 in 1 Touchscreen (Rockchip, 4 GB, 16GB SSD, Silver)",2.7999999971439995,12.299999987454,8.99999999082,2.199999998155101
00010,B015TC63LI,1,My Little Pony POP and Starter Kits,3.49999999643,6.799999993064,6.099999993778,0.7499999993710571
00011,B00CXACR1U,2,BuyCheapCables® (6 Feet) Ultra Slim 2.2mm OD Toslink Optical Digital Audio Cable (6'),0.099999999898,6.99999999286,6.49999999337,0.022046001186074866
00011,B00NO56G4M,1,St. Louis Cardinals Fans. Don't Be a Dick Red T-Shirt (3XL),0.899999999082,8.99999999082,7.99999999184,0.85
00011,B012C8GJBG,1,"Galaxy S5 Case Wallet,Mulbess [Layered Dandy][Vintage Series][Black] - [Ultra Slim][Wallet Case] - Leather Flip Cover With Credit Card Slot for Samsung Galaxy S5 SV i9600",0.5511811018,5.905511805,3.3070866108,0.22046001167587295
00011,B01ATYIK7G,3,Vergiano Super Bright Flexible Dual Head Clip on LED Reading Light - Clamp Lamp Sensitive Eye Care - Rechargeable USB Desk or Table Lamp - Music Stand Light (BLACK),4.0,4.0,4.0,0.0
00012,B0041BT21M,1,1 X DVI to DVI LCD Monitor Cable 6 Foot,0.599999999388,9.299999990514001,3.399999996532,0.29999999974842284
